daerah,vote_jokowi,vote_prabowo,kategori
PANGKAJENE DAN KEPULAUAN,76282,114461,KABUPATEN/KOTA
PINRANG,88023,140507,KABUPATEN/KOTA
SIDENRENG RAPPANG,76633,99958,KABUPATEN/KOTA
SINJAI,37408,107778,KABUPATEN/KOTA
SOPPENG,83222,60042,KABUPATEN/KOTA
TAKALAR,66973,108054,KABUPATEN/KOTA
TANA TORAJA,117057,15986,KABUPATEN/KOTA
TORAJA UTARA,117323,13887,KABUPATEN/KOTA
WAJO,122461,106255,KABUPATEN/KOTA
SULAWESI TENGGARA,554247,840029,PROVINSI
BOMBANA,36292,47625,KABUPATEN/KOTA
BUTON,34755,23143,KABUPATEN/KOTA
BUTON SELATAN,23156,20171,KABUPATEN/KOTA
BUTON TENGAH,22415,27020,KABUPATEN/KOTA
BUTON UTARA,19687,19392,KABUPATEN/KOTA
KOLAKA,43964,85625,KABUPATEN/KOTA
KOLAKA TIMUR,30056,39944,KABUPATEN/KOTA
KOLAKA UTARA,25937,50657,KABUPATEN/KOTA
KONAWE,47383,97684,KABUPATEN/KOTA
KONAWE KEPULAUAN,4806,17440,KABUPATEN/KOTA
KONAWE SELATAN,65251,104702,KABUPATEN/KOTA
KONAWE UTARA,16046,22666,KABUPATEN/KOTA
KOTA BAU BAU,35486,43615,KABUPATEN/KOTA
KOTA KENDARI,58676,118306,KABUPATEN/KOTA
MUNA,40540,70196,KABUPATEN/KOTA
MUNA BARAT,18441,26670,KABUPATEN/KOTA
WAKATOBI,31356,25173,KABUPATEN/KOTA
GORONTALO,369338,344798,PROVINSI
BOALEMO,55662,33353,KABUPATEN/KOTA
BONE BOLANGO,46549,55915,KABUPATEN/KOTA
GORONTALO UTARA,35289,39094,KABUPATEN/KOTA
GORONTALO.,133104,110632,KABUPATEN/KOTA
KOTA GORONTALO,45908,70643,KABUPATEN/KOTA
PAHUWATO,52826,35161,KABUPATEN/KOTA
SULAWESI BARAT,474852,263345,PROVINSI
MAJENE,59948,38512,KABUPATEN/KOTA
MAMASA,84093,13932,KABUPATEN/KOTA
MAMUJU,87841,54494,KABUPATEN/KOTA
MAMUJU TENGAH,48668,19008,KABUPATEN/KOTA
PASANGKAYU,55432,28826,KABUPATEN/KOTA
POLEWALI MANDAR,138870,108573,KABUPATEN/KOTA
MALUKU,591661,394493,PROVINSI
BURU,40009,35919,KABUPATEN/KOTA
BURU SELATAN,19806,19798,KABUPATEN/KOTA
KEPULAUAN ARU,42018,8159,KABUPATEN/KOTA
KOTA AMBON,120092,59945,KABUPATEN/KOTA
KOTA TUAL,18911,17950,KABUPATEN/KOTA
MALUKU BARAT DAYA,40471,4031,KABUPATEN/KOTA
MALUKU TENGAH,114174,116425,KABUPATEN/KOTA
MALUKU TENGGARA,46319,15230,KABUPATEN/KOTA
MALUKU TENGGARA BARAT,54564,4886,KABUPATEN/KOTA
SERAM BAGIAN BARAT,58817,70439,KABUPATEN/KOTA
SERAM BAGIAN TIMUR,36480,41711,KABUPATEN/KOTA
MALUKU UTARA,310585,344366,PROVINSI
