daerah,jokowi,prabowo
BULUNGAN,54507,22987
KOTA TARAKAN,70853,49365
MALINAU,36119,7176
NUNUKAN,77099,21458
TANA TIDUNG,8774,4512
+Luar Negeri,577637,223575
"Abu Dhabi, Uni Emirat Arab",1124,1645
"Abuja, Nigeria",1023,422
"Addis Ababa, Ethiopia",109,42
"Alger, Aljazair",477,264
"Amman, Yordania",216,315
"Ankara, Turki",278,553
"Antananarivo, Madagaskar",52,32
"Astana, Kazakhstan",48,14
"Athena, Yunani",548,121
"Baghdad, Irak",153,89
"Baku, Azerbaijan",58,27
"Bandar Seri Begawan, Brunei Darussalam",8051,3560
"Bangkok, Thailand",1032,322
"Beijing, Republik Rakyat Tiongkok",1458,327
"Beirut, Lebanon",110,61
"Beograd, Serbia",59,17
"Berlin, Jerman",1384,429
"Bern, Swiss",760,175
"Bogota, Kolombia",62,9
"Brasilia, Brasil",154,20
"Bratislava, Slowakia",45,12
"Brussels, Belgia",806,175
"Bucharest, Rumania",112,11
"Budapest, Hongaria",227,89
"Buenos Aires, Argentina",124,20
"Canberra, Australia",582,173
"Cape Town, Afrika Selatan",77,35
"Caracas, Venezuela",51,20
"Chicago, Amerika Serikat",1180,134
"Colombo, Sri Langka",298,59
"Dakar, Senegal",188,201
"Damascus, Suriah",48,83
"Dar-Es Salaam, Tanzania",67,9
"Darwin, Australia",507,110
"Davao City, Filipina",542,435
"Den Haag, Belanda",5247,1090
"Dhaka, Bangladesh",143,73
"Dili, Timor Leste",2739,578
"Doha, Qatar",1494,2632
"Dubai, Uni Emirat Arab",1738,1147
"Frankfurt, Jerman",4353,796
"Guangzhou, Tiongkok",1789,167
"Hamburg, Jerman",1568,439
"Hanoi, Vietnam",161,63
"Harare, Zimbabwe",163,56
"Havana, Kuba",63,18
"Helsinki, Finlandia",344,64
"Ho Chi Minh City, Vietnam",327,111
"Hong Kong, Republik Rakyat Tiongkok",38945,5967
"Houston, Amerika Serikat",2752,332
"Islamabad, Pakistan",81,225
"Istanbul, Turki",281,568
"Jeddah, Arab Saudi",3821,9471
"Johor Bahru, Malaysia",57012,39432
"Kabul, Afganistan",18,13
"Kairo, Mesir",1597,4739
"Karachi, Pakistan",27,174
"Khartoum, Sudan",160,646
"Kiev, Ukrania",42,8
"Kopenhagen, Denmark",440,76
"Kota Kinabalu, Malaysia",71107,15542
"Kuala Lumpur, Malaysia",60575,42947
"Kuching, Malaysia",44992,26461
"Kuwait City, Kuwait",1294,1177
"Lima, Peru",64,15
"Lisabon, Portugal",158,28
"London, Inggris",2968,942
"Los Angeles, Amerika Serikat",4270,316
"Madrid, Spanyol",588,109
"Manama, Bahrain",489,406
"Manila, Filipina",1346,114
"Maputo, Mozambik",77,32
"Marseille, Perancis",372,95
"Melbourne, Australia",7229,901
"Mexico City, Mexico",110,26
"Moskow, Rusia",404,149
"Mumbai, India",210,90
"Muscat, Oman",629,508
"Nairobi, Kenya",340,108
"New Delhi, India",176,106
"New York, Amerika Serikat",4002,501
"Noumea, Perancis",217,26
"Osaka, Jepang",2066,1356
"Oslo, Norwegia",512,116
"Ottawa, Kanada",389,70
"Panama City, Panama",69,25
"Paramaribo, Suriname",213,89
"Paris, Perancis",1546,266
"Penang, Malaysia",23703,7987
"Perth, Australia",3836,609
"Phnom Penh, Kamboja",3018,202
"Port Moresby, Papua Nugini",595,150
"Praha, Republik Ceko",200,34
"Pretoria, Afrika Selatan",100,41
"Pyong Yang, Korea Utara",21,3
"Quito, Ekuador",46,10
"Rabat, Morocco",154,121
"Riyadh, Arab Saudi",3576,5133
"Roma, Italia",880,181
"San Francisco, Amerika Serikat",2691,756
"Sana'a, Yaman",161,1692
"Santiago, Chile",99,24
"Sarajevo, Bosnia-Herzegovina",4,1
"Seoul, Korea Selatan",4797,2297
"Shanghai, Republik Rakyat Tiongkok",2167,506
"Singapura, Singapura",42011,5900
"Sofia, Bulgaria",49,9
"Songkhla, Thailand",152,142
"Stockholm, Swedia",658,107
"Suva, Fiji",235,117
"Sydney, Australia",11665,1919
"Taipei, Taiwan",71121,11172
"Tashkent, Uzbekistan",51,18
"Tawau, Sabah",36045,7637
"Tehran, Iran",230,23
"Tokyo, Jepang",5955,3534
"Toronto, Kanada",1549,214
"Tripoli, Libya",4,40
"Tunis, Tunisia",66,66
"Vancouver, Kanada",2089,197
"Vanimo, Papua Nugini",456,236
"Vatikan, Vatikan",1172,12
"Vientiane, Laos",111,63
"Warsawa, Polandia",226,121
"Washington D.C., Amerika Serikat",1114,352
"Wellington, Selandia Baru",2084,313
"Wina, Austria",528,128
"Windhoek, Namibia",102,33
"Yangon, Myanmar",151,51
"Zagreb, Kroasia",38,8
